arbitration_id,raw_data,Batch_ID,Pass_1,Pass_2,Pass_3,Pass_4,Pass_5
0x329,dcbd7f1411200014,,,,,,
0x316,05226c092221006e,,,,,,
0x316,052264092220006f,,,,,,
0x130,1d8000ff06800d1e,,,,,,
0x130,0e8000ff1c8001cb,,,,,,
0x260,19212130088e693f,,,,,,
0x18f,fe570000003c0000,,,,,,
0x260,18212130088f6c09,,,,,,
0x329,dcbc7f1411200014,,,,,,
0x316,052270092220006f,,,,,,
0x140,00000000022023dc,,,,,,
0x316,052178092120006f,,,,,,
0x153,002110ff00ff0000,,,,,,
0x140,000000000821294d,,,,,,
0x140,0000000008202480,,,,,,
0x260,1a222230088e6b18,,,,,,
0x2b0,ff7f000558,,,,,,
0x260,19212130088f6a2c,,,,,,
0x18f,fe530000003c0000,,,,,,
0x54b,7702b6a44a44a4bc,,,,,,
0x130,0f8000ff0e800e36,,,,,,
0x260,19222230088e6e16,,,,,,
0x316,052270092221006f,22,"Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, particularly with IDs like 0x329, 0x316, and 0x260 appearing in a non-repetitive manner, which deviates from the expected stable patterns of normal traffic.","Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, particularly with IDs like 0x54b, 0x130, and 0x260 appearing in a non-repetitive manner, which deviates from the expected stable patterns of normal traffic.","Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, particularly with IDs like 0x329, 0x316, and 0x260 appearing in a non-repetitive manner, which deviates from the expected stable patterns of normal traffic.","Yes, the FINAL message indicates a Fuzzy attack. The sequence shows frequent changes in arbitration IDs, particularly in the last few messages, with no stable repeating patterns observed, which is characteristic of a Fuzzy attack.","Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, particularly with IDs like 0x329, 0x316, and 0x260 appearing in a non-repetitive manner, which deviates from the expected stable patterns of normal traffic."
0x316,052260092221006f,23,"No, this does not indicate an attack. The sequence shows a stable repetition of arbitration IDs, particularly with the ID 0x316 appearing multiple times in close proximity, which suggests normal traffic behavior rather than the frequent changes characteristic of a Fuzzy attack.","No, this does not indicate an attack. The sequence shows a stable repetition of arbitration IDs, particularly with the ID 0x316 appearing multiple times in close proximity, which suggests normal traffic behavior rather than the frequent changes characteristic of a Fuzzy attack.","No, this does not indicate an attack. The sequence shows a stable repetition of arbitration IDs, particularly with the ID 0x316 appearing multiple times in close succession, which suggests normal traffic behavior rather than the frequent changes characteristic of a Fuzzy attack.","No, this does not indicate an attack. The sequence shows a consistent pattern with several arbitration IDs repeating, particularly the 0x316 and 0x260 IDs, which suggests stable traffic rather than the frequent changes characteristic of a Fuzzy attack.","No, this does not indicate an attack. The sequence shows a consistent pattern with several arbitration IDs repeating in a stable manner, particularly the frequent occurrence of 0x316 and 0x260, which suggests normal traffic behavior rather than the chaotic changes characteristic of a Fuzzy attack."
0x153,002110ff00ff0000,24,"Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, particularly with IDs like 0x316, 0x130, 0x260, and 0x2b0, which do not form a stable repeating pattern, suggesting anomalous behavior.","Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, with multiple different IDs appearing in quick succession without forming a stable repeating pattern, which is characteristic of a Fuzzy attack.","Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, particularly with IDs like 0x316, 0x130, 0x260, and 0x2b0 appearing in a non-repetitive manner, which deviates from the expected stable patterns of normal traffic.","Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, with multiple different IDs appearing in quick succession without forming a stable repeating pattern, which is characteristic of a Fuzzy attack.","Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, with multiple different IDs appearing in quick succession without forming a stable repeating pattern, which is characteristic of a Fuzzy attack."
0x18f,fe530000003c0000,25,"Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, particularly with IDs like 0x130, 0x260, 0x329, and 0x316 appearing in a non-repetitive manner, which deviates from the expected stable patterns of normal traffic.","Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, particularly with IDs like 0x130, 0x260, 0x316, and 0x18f appearing in a non-repetitive manner, which deviates from the expected stable patterns of normal traffic.","Yes, the FINAL message indicates a Fuzzy attack. The sequence shows frequent changes in arbitration IDs, particularly in the last few messages, where IDs like 0x54b, 0x130, and 0x260 appear without forming a stable repeating pattern, indicating anomalous behavior.","Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, with multiple different IDs appearing in quick succession without forming a stable repeating pattern, which is characteristic of a Fuzzy attack.","Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, particularly with IDs like 0x130, 0x260, 0x329, and 0x316 appearing in a non-repetitive manner, which deviates from the expected stable patterns of normal traffic."
0x18f,fe520000003c0000,26,"Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, particularly with IDs like 0x54b, 0x130, and 0x260 appearing in a non-repetitive manner, which deviates from the stable patterns typically seen in normal traffic.","Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, particularly with IDs like 0x54b, 0x130, and 0x260 appearing in a non-repetitive manner, which deviates from the stable patterns typically seen in normal traffic.","Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, particularly with IDs like 0x54b, 0x130, and 0x260 appearing in a non-repetitive manner, which deviates from the expected stable patterns of normal traffic.","Yes, this indicates a Fuzzy attack. The sequence shows frequent changes in arbitration IDs, particularly in the latter part of the window, where IDs do not repeat consistently and instead exhibit a chaotic pattern, deviating from the expected stable behavior of normal traffic.","Yes, this indicates a Fuzzy attack. The sequence shows frequent changes in arbitration IDs, particularly in the latter part of the window, where IDs do not repeat consistently and instead exhibit a chaotic pattern, deviating from the expected stable behavior of normal traffic."
0x18f,fe5c0000003c0000,27,"Yes, the FINAL message indicates a Fuzzy attack. The sequence shows frequent changes in arbitration IDs, particularly with the 0x18f ID appearing multiple times with different payloads, indicating instability and a lack of consistent repeating patterns typical of normal traffic.","Yes, the FINAL message indicates a Fuzzy attack. The sequence shows frequent changes in arbitration IDs, particularly with multiple different IDs (0x260, 0x18f, 0x316, 0x153, etc.) appearing in quick succession without stable repetition, which deviates from the expected normal traffic pattern.","Yes, the FINAL message indicates a Fuzzy attack. The sequence shows frequent changes in arbitration IDs, particularly with the IDs 0x18f, 0x260, and 0x316, which do not form a stable repeating pattern, suggesting anomalous behavior.","Yes, the FINAL message indicates a Fuzzy attack. The sequence shows frequent changes in arbitration IDs, particularly with IDs like 0x260, 0x18f, and 0x316 appearing in a non-repetitive manner, which deviates from the expected stable pattern of normal traffic.","Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, particularly with the IDs 0x18f, 0x260, and 0x316, which do not form a stable repeating pattern, indicating anomalous behavior."
0x140,00000000040026c5,28,"Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, particularly with IDs like 0x18f, 0x260, 0x329, and 0x316 appearing in a non-repetitive manner, which deviates from the expected stable patterns of normal traffic.","Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, particularly with IDs like 0x18f, 0x260, 0x329, and 0x316 appearing in a non-repetitive manner, indicating instability and a lack of predictable patterns typical of normal traffic.","Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, with no stable repeating pattern, particularly in the last few messages where IDs vary significantly.","Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, particularly with IDs like 0x18f, 0x260, 0x329, and 0x316 appearing in a non-repetitive manner, indicating instability and a lack of a consistent pattern.","Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, particularly with IDs like 0x18f, 0x260, 0x329, and 0x316 appearing in a non-repetitive manner, which deviates from the expected stable patterns of normal traffic."
0x140,0000000010292a24,29,"Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, particularly with IDs like 0x260, 0x18f, and 0x140 appearing in a non-repetitive manner, which deviates from the expected stable patterns of normal traffic.","Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, particularly with IDs like 0x260, 0x329, 0x316, and 0x140 appearing in a non-repetitive manner, which deviates from the expected stable patterns of normal traffic.","Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, particularly with IDs like 0x260, 0x18f, and 0x140 appearing in a non-repetitive manner, which deviates from the expected stable patterns of normal traffic.","Yes, the FINAL message indicates a Fuzzy attack. The sequence leading up to it shows frequent changes in arbitration IDs, particularly with IDs like 0x260, 0x18f, and 0x140 appearing in a non-repetitive manner, which deviates from the expected stable patterns of normal traffic.","Yes, the FINAL message indicates a Fuzzy attack. The sequence shows frequent changes in arbitration IDs, particularly in the last few messages, where IDs like 0x18f, 0x140, and others are rapidly alternating without forming a stable repeating pattern, which is characteristic of a Fuzzy attack."
