arbitration_id,raw_data,Batch_ID,Pass_1,Pass_2,Pass_3,Pass_4,Pass_5
0x329,40bd7e1411200014,0,Yes,Yes,Yes,Yes,Yes
0x130,058000ff3e800c4c,0,Yes,Yes,Yes,Yes,Yes
0x140,000000001e0d284f,0,Yes,Yes,Yes,Yes,Yes
0x316,052374092322006d,0,Yes,Yes,Yes,Yes,Yes
0x260,18202130ff8e6f11,0,Yes,Yes,Yes,Yes,Yes
0x545,d856008c00000000,0,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,0,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,0,Yes,Yes,Yes,Yes,Yes
0x545,d800008600000000,0,Yes,Yes,Yes,Yes,Yes
0x316,05216c0921200073,0,Yes,Yes,Yes,Yes,Yes
0x18f,fe570000003c0000,0,Yes,Yes,Yes,Yes,Yes
0x260,19222230ff8e700c,0,Yes,Yes,Yes,Yes,Yes
0x260,18222230ff90721b,0,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,0,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,0,Yes,Yes,Yes,Yes,Yes
0x316,0523680923210070,0,Yes,Yes,Yes,Yes,Yes
0x130,038000ff26800017,0,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,0,Yes,Yes,Yes,Yes,Yes
0x329,dcbd7e1411200014,0,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,0,Yes,Yes,Yes,Yes,Yes
0x130,058000ff23800b82,0,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,0,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,0,Yes,Yes,Yes,Yes,Yes
0x153,002110ff00ff0000,1,Yes,Yes,Yes,Yes,Yes
0x130,0f8000ff2e800a72,1,Yes,Yes,Yes,Yes,Yes
0x153,002110ff00ff0000,1,Yes,Yes,Yes,Yes,Yes
0x18f,fe5d0000003c0000,1,Yes,Yes,Yes,Yes,Yes
0x329,dcb47e1411200014,1,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,1,Yes,Yes,Yes,Yes,Yes
0x18f,fe4d000000410000,1,Yes,Yes,Yes,Yes,Yes
0x130,098000ff07800c5c,1,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,1,Yes,Yes,Yes,Yes,Yes
0x316,0521440a211e0072,1,Yes,Yes,Yes,Yes,Yes
0x545,d85b008100000000,1,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,1,Yes,Yes,Yes,Yes,Yes
0x545,d800008c00000000,1,Yes,Yes,Yes,Yes,Yes
0x545,d800008b00000000,1,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,1,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,1,Yes,Yes,Yes,Yes,Yes
0x260,19222230ff8f6e0c,1,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,1,Yes,Yes,Yes,Yes,Yes
0x153,002110ff00ff0000,1,Yes,Yes,Yes,Yes,Yes
0x153,002110ff00ff0000,1,Yes,Yes,Yes,Yes,Yes
0x260,19222230ff8f723c,1,Yes,Yes,Yes,Yes,Yes
0x260,19212130ff8f6d10,1,Yes,Yes,Yes,Yes,Yes
0x18f,fe48000000410000,1,Yes,Yes,Yes,Yes,Yes
0x153,002110ff00ff0000,2,Yes,Yes,Yes,Yes,Yes
0x140,0000000004292800,2,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,2,Yes,Yes,Yes,Yes,Yes
0x260,19222230ff8e7309,2,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,2,Yes,Yes,Yes,Yes,Yes
0x18f,fe4b0000003c0000,2,Yes,Yes,Yes,Yes,Yes
0x545,d859008d00000000,2,Yes,Yes,Yes,Yes,Yes
0x260,19222230088f6e37,2,Yes,Yes,Yes,Yes,Yes
0x545,d800008a00000000,2,Yes,Yes,Yes,Yes,Yes
0x545,d800008b00000000,2,Yes,Yes,Yes,Yes,Yes
0x153,002110ff00ff0000,2,Yes,Yes,Yes,Yes,Yes
0x329,87bd7e1411200014,2,Yes,Yes,Yes,Yes,Yes
0x130,0f8000ff0e8005f9,2,Yes,Yes,Yes,Yes,Yes
0x329,87be7e1411200014,2,Yes,Yes,Yes,Yes,Yes
0x140,000000000a202f4c,2,Yes,Yes,Yes,Yes,Yes
0x18f,fe49000000410000,2,Yes,Yes,Yes,Yes,Yes
0x316,0521840921200074,2,Yes,Yes,Yes,Yes,Yes
0x316,0522680922210072,2,Yes,Yes,Yes,Yes,Yes
0x260,18222230ff8f7c00,2,Yes,Yes,Yes,Yes,Yes
0x130,0b8000ff1d800abf,2,Yes,Yes,Yes,Yes,Yes
0x316,0522680922200070,2,Yes,Yes,Yes,Yes,Yes
0x130,158000ff1080014d,2,Yes,Yes,Yes,Yes,Yes
0x260,19212230ff8f6e1e,2,Yes,Yes,Yes,Yes,Yes
0x18f,fe4d0000003c0000,3,Yes,Yes,Yes,Yes,Yes
0x545,d800008c00000000,3,Yes,Yes,Yes,Yes,Yes
0x316,0522700922210074,3,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,3,Yes,Yes,Yes,Yes,Yes
0x545,d800008900000000,3,Yes,Yes,Yes,Yes,Yes
0x130,138000ff288005ce,3,Yes,Yes,Yes,Yes,Yes
0x545,d85a008a00000000,3,Yes,Yes,Yes,Yes,Yes
0x545,d800008a00000000,3,Yes,Yes,Yes,Yes,Yes
0x545,d85a008c00000000,3,Yes,Yes,Yes,Yes,Yes
0x18f,fe460000003c0000,3,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,3,Yes,Yes,Yes,Yes,Yes
0x260,19222230088e7114,3,Yes,Yes,Yes,Yes,Yes
0x316,0522380a221e0070,3,Yes,Yes,Yes,Yes,Yes
0x260,18212130ff8e743e,3,Yes,Yes,Yes,Yes,Yes
0x18f,fe420000003c0000,3,Yes,Yes,Yes,Yes,Yes
0x153,002110ff00ff0000,3,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,3,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,3,Yes,Yes,Yes,Yes,Yes
0x18f,fe4e0000003c0000,3,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,3,Yes,Yes,Yes,Yes,Yes
0x153,002110ff00ff0000,3,Yes,Yes,Yes,Yes,Yes
0x153,002110ff00ff0000,3,Yes,Yes,Yes,Yes,Yes
0x130,138000ff39800bff,3,Yes,Yes,Yes,Yes,Yes
0x153,002110ff00ff0000,4,Yes,Yes,Yes,Yes,Yes
0x260,18212130088f7017,4,Yes,Yes,Yes,Yes,Yes
0x153,002110ff00ff0000,4,Yes,Yes,Yes,Yes,Yes
0x140,0000000008292e44,4,Yes,Yes,Yes,Yes,Yes
0x140,000000000420290b,4,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,4,Yes,Yes,Yes,Yes,Yes
0x140,00000000180022a3,4,Yes,Yes,Yes,Yes,Yes
0x316,05226c0922200074,4,Yes,Yes,Yes,Yes,Yes
0x130,0a8000ff26800098,4,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,4,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,4,Yes,Yes,Yes,Yes,Yes
0x140,000000000c322c42,4,Yes,Yes,Yes,Yes,Yes
0x316,0522540922210071,4,Yes,Yes,Yes,Yes,Yes
0x260,19222230088e7004,4,Yes,Yes,Yes,Yes,Yes
0x545,d800008900000000,4,Yes,Yes,Yes,Yes,Yes
0x130,0a8000ff1c800a6d,4,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,4,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,4,Yes,Yes,Yes,Yes,Yes
0x140,000000000a2027a4,4,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,4,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,4,Yes,Yes,Yes,Yes,Yes
0x153,002110ff00ff0000,4,Yes,Yes,Yes,Yes,Yes
0x18f,fe3f0000003c0000,4,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,5,Yes,Yes,Yes,Yes,Yes
0x260,18212130ff906f0e,5,Yes,Yes,Yes,Yes,Yes
0x153,002110ff00ff0000,5,Yes,Yes,Yes,Yes,Yes
0x329,dcbb7f1411200014,5,Yes,Yes,Yes,Yes,Yes
0x316,452924ff292400ff,5,Yes,Yes,Yes,Yes,Yes
0x316,0521700921200073,5,Yes,Yes,Yes,Yes,Yes
0x153,002110ff00ff0000,5,Yes,Yes,Yes,Yes,Yes
0x153,002110ff00ff0000,5,Yes,Yes,Yes,Yes,Yes
0x545,d85b008200000000,5,Yes,Yes,Yes,Yes,Yes
0x260,19212130ff8e6f31,5,Yes,Yes,Yes,Yes,Yes
0x153,002110ff00ff0000,5,Yes,Yes,Yes,Yes,Yes
0x18f,fe4c0000003c0000,5,Yes,Yes,Yes,Yes,Yes
